ParamSet_id,Param_id,L_bound,U_bound
LOAD,load_Alpha,2,2
LOAD,load_Beta,2,3
LOAD,load_ActiveMotorShare_0_,0.15,0.19
LOAD,load_ActiveMotorShare_1_,0.1,0.122
LOAD,load_ActiveMotorShare_2_,0.05,0.08
IBG-legacy,ibg_IMaxPu,1.0,1.3
IBG-legacy,ibg_IpRateLimMax,2,3
IBG-legacy,ibg_ULVRTMinPu,0.75,0.9
IBG-legacy,ibg_ULVRTArmingPu,0.8,0.9
IBG-legacy,ibg_LVRTc,0,1
IBG-legacy,ibg_LVRTd,0.7,1
IBG-legacy,ibg_LVRTg,0,1
IBG-legacy,ibg_LVRTh,0.8,1
IBG-legacy,ibg_Kpg,0.1,1
IBG-legacy,ibg_Kig,10,20
IBG-G99,ibg_KQsupportPu,2,3
IBG-G99,ibg_IMaxPu,1.0,1.3
IBG-G99,ibg_IpRateLimMax,2,3
IBG-G99,ibg_VDeadzoneMaxPu,0.05,0.15
IBG-G99,ibg_VDeadzoneMinPu,-0.15,-0.05
IBG-G99,ibg_ULVRTMinPu,0.05,0.2
IBG-G99,ibg_ULVRTArmingPu,0.8,0.9
IBG-G99,ibg_LVRTc,0,1
IBG-G99,ibg_LVRTd,0,1
IBG-G99,ibg_LVRTg,0,1
IBG-G99,ibg_LVRTh,0.6,1
IBG-G99,ibg_Kpg,0.1,1
IBG-G99,ibg_Kig,10,20